"url","text"
"https://www.liberty.edu/","Find Your Degree
At Liberty University, you can tailor your associate, bachelor’s, master’s, or doctoral degree to match your area of interest while studying at our Central Virginia campus or globally online. Certificates are also available at both the undergraduate and graduate level.
Browse Undergraduate Degrees
Browse Graduate Degrees
Training Champions for Christ
Join us at Liberty University where you’ll prepare for a successful career while we prepare you for life. With over 700 programs of study, state-of-the-art technology, and a gifted faculty, Liberty will equip you to enter a competitive job market. Learn, develop, and grow at Liberty so you can impact your culture as a Champion for Christ.
Tour Our Growing Campus
Imagine yourself right here in Virginia at Liberty University. You could be meeting friends on the steps of Montview Student Union or headed to Jerry Falwell Library for a quick study session. Picture yourself walking across our expansive academic lawn or getting ready for the next big game at Williams Stadium.
Start Virtual Tour
Take an On-Campus Tour
Liberty News"
"https://www.liberty.edu/journal/","News & Events 
Shining Bright
The Class of 2023 sat under the lights of Williams Stadium to listen to an inspiring message from Franklin Graham before watching a fireworks show, the perfect finale to the celebration.
Read View the E-Magazine version of this issue View E-Magazine 
Featured Articles
Overwhelming Grace
Since giving her past of addiction, fear, and darkness over to the Lord, Whitney Harris (’23) has forged a new life for herself while earning her BSN through Liberty’s School…
June 21, 2023 in Alumni 
Keeper of the Mission
While serving as interim president, Jerry Prevo was often asked about his vision for Liberty, and he would always point back to Dr. Falwell’s vision — the vision that started…
June 22, 2023 in Faith & Service 
Running in the Land of Opportunity
Liberty University alumnus and U.S. Army Capt. Sam Chelanga (’11) is leaning on his faith as he looks to represent his country through both his military service and as a…
June 22, 2023 in Athletics, Alumni 
In first visit to LU, Gov. Ron DeSantis wages war on woke
Florida Gov. Ron DeSantis shared the importance of fighting for truth amid a culture that has seen the woke agenda rapidly gain ground in recent years. …
June 22, 2023 in News & Events 
The Gift of Family
Liberty University founder Dr. Jerry Falwell’s heartbeat for children still pulses in the lives of many families who have been blessed by adoption, including the family of Callie and Kendra…
June 22, 2023 in Alumni 
‘Challenge Accepted’
The announcement of Maj. Gen. (Ret.) Dondi E. Costin, Ph.D., as Liberty University’s sixth president and Jonathan Falwell as the university’s third chancellor was a commissioning service for two men…
June 22, 2023 in News & Events 
Get the e-magazine straight to your inbox!
It only takes a click to unsubscribe."
"https://www.liberty.edu/scaremare/","No Bags Allowed inside Scaremare! Please be prepared to go through metal detectors.
Scaremare 2023
October 12-14, 19-21, & 26-28 
Price of Admission
Admittance is only $5 for military personnel and college students on Thursdays Must have a valid college or military I.D. (one ticket per I.D.) 
Individuals
$12 PER PERSON. CASH ONLY.
Passes must be purchased at the gate. No individual passes will be pre-sold.
SCAREMARE OPENS AT APPROXIMATELY 7:30 P.M. EACH NIGHT.
GATES TO SCAREMARE CLOSE AT
11 P.M. AS LONG AS YOU ARE IN LINE YOU WILL STILL BE ADMITTED.
* We advise against bringing children under the age of 13
Groups
Groups of 15+ must purchase passes in advance in order to secure a rate of $10 per person. Groups must purchase their passes at least 24 hours in advance.
Purchase group passes.
SCAREMARE OPENS AT APPROXIMATELY 7:30 P.M. EACH NIGHT.
* Groups who pay online using a credit card will be assessed a $1 per ticket service fee upon online checkout. To avoid this $1 service fee groups may call the ticket office (434-582-7328) and have them charge their credit card over the phone.
** All pre-purchased Group tickets will be held at the Scaremare ticket booth on-site. Groups must wait in the General Admission line; tickets will be given to the group leader once the group arrives at the ticket window. Tickets will not be available for early pick-up.
Lineslashers
Groups of 15+ can avoid long lines by purchasing $14 Lineslasher passes for each person in their group. Lineslasher passes guarantee entry into Scaremare within 30 minutes of your scheduled appointment. Lineslasher passes must be purchased online. Passes must be purchased at least 24 hours in advance.
Purchase Lineslasher passes
SCAREMARE OPENS AT APPROXIMATELY 7:30 P.M. EACH NIGHT.
*All Lineslasher passes should be picked up on-site at Scaremare through the “Lineslasher Check-in.” Passes will not be available for early pick-up.”
Scaremare Location
2300 Carroll Ave. Lynchburg, VA 24501
Parking is first come first serve.
GET DIRECTIONS TO SCAREMARE
About Scaremare
Scaremare presents fun-house rooms and scenes of death in order to confront people with the question “What happens after I die?”
Groups of people experience a 40-minute journey, passing through creepy trails, dark woods and eventually entering the House. At the end of the experience, visitors are presented with an answer to this question and given the life-changing message of Jesus Christ. Approximately 26,000 people have made decisions for Christ over the past two decades. Ironically, this House of Death points to the Way of Life!
Scaremare has been held at four different locations, including a mansion in Amherst County and an old hospital in downtown Lynchburg. It presently operates at 2300 Carroll Ave, Lynchburg (the City Stadium exit, off of US Route 29 North)
Scaremare project continues in the planning process year— round, but swings into high gear from August through November. The House is open to the public during the last three weekends in October
Thousands of volunteer hours go into preparations of this project. It takes a cast of 300 Liberty University students to operate the House each night. Scaremare is sponsored by the Center for Youth Ministries at Liberty University.
Since 1972, more than 300,000 people from several states have made the trip through the House of Death that you are about to take.
The House attracts over a thousand people every Thursday night. Fridays and Saturdays can typically average between 2,000 and 4,000. The all-time record for attendance on one night was 4,500 in 2007.
Scaremare is carefully planned with safety in mind. Strict building, fire and insurance codes are maintained in the House and on its properties. Liberty University Police Department, fire, EMS and security personnel are on the premises at all times. In the event of an emergency, Liberty University Police Department, fire, EMS and security personnel will respond quickly and professionally.
Testimonials
“Scaremare gave me the opportunity to make my friend think about her life. Whether she will ever come to believe in God and accept Him into her life, I don’t know but at least she has to think about it and make her decision. Thank you for giving me the chance to share Christ with her through the whole Scaremare experience.” 
“I just wanted to let you know that we visited Scaremare for the first time this past Saturday evening and we thought it was excellent. My husband and I took our son and his friend through the house and were very impressed by the way it was prepared! You should feel very proud of your accomplishment.” 
“I just wanted to say SCAREMARE IS AWESOME!!” 
“I would just like to say that Scaremare is great. I think it is well worth the wait to get in. I would also like to thank all of the volunteers for making it very scary and spooky for all to enjoy, they do a great job.” 
“I would like to commend you on the wonderful job that you all did. Every volunteer that I spoke with was friendly, helpful and courteous. The scare house was great! It was realistic and thought provoking. I look forward to the follow-up that will take place with some of my students in the next few weeks as a result of the experience at Scaremare.Thank you again for this ministry and this effective tool for spreading the wonderful news of our Lord Jesus. May God richly bless the ministry of Scaremare and also each individual that worked on the project” – Minister to Students, VA 
“Last night I went to Scaremare, it was the scariest Haunted House I have been in, and it also had the best message. We traveled 4 hours there from VA Beach and back but it was worth it. My best friend and her brother got saved, and I was so happy for her. All I could do was hug her. I think Scaremare is a really good idea, and it should keep going!” 
“It’s been almost a year and Scaremare is still ministering my walk with God. I’ve gone through a few fun/death houses. Actually I’m even a part of one in Miami, FL. Scaremare is a … stunning way to draw the lost to redemption, and to quicken a holy living in the believer. It may not be for everyone, but most needed it. Thank you LU for making it all happen.” – Melissa 
“Growing up in Holland, things surrounding my faith were always very different. I lived in Holland for 17 years and then moved to America to attend a year in high school. I went with some of the students from my youth group to Scaremare. I remember being scared out of my mind, but having a great old time. I remember walking into the tents at the end thinking this does not look like fun. A Liberty student started talking about how without Jesus you could not get to God. The student drew in the sand with a stick to explain that on one side, there was me and on the other side, there was God. He explained that in order to get to God you have to go through Jesus. When the student was done, he prayed with us and during prayer, he asked if any of us would like to accept Jesus and if we would, to raise our hand. Everything now making total and complete sense, I raised my hand. I am grateful every day for an outreach like Scaremare because it is such a great way to reach students today.” – Lynn"
"https://www.liberty.edu/residential/visit-us/","We know that when making a big decision like where to go to college, a campus visit can make all the difference. Visiting the place that could potentially be your home for the next four years is the best way to get a feel for what college life could look like. From dorm rooms to classrooms to the dining hall, a visit can help you picture yourself fitting in on campus.
We think you’re going to love life at Liberty, so we can’t wait to welcome you to campus — no matter how you choose to visit! 
TourLU
Want to hit the highlights of LU? Take one of our daily campus tours!
Anyone is welcome to join
Tour is approximately 4 hours
Available times are Monday-Saturday at 9 a.m. and 2 p.m. and Sunday at 2 p.m.
Interested in bringing your group of 10 or more to visit Liberty University?
ExperienceLU
ExperienceLU is a single-day event that allows you to dig deeper and learn more about the Liberty experience.
High school second-semester sophomores, juniors, and seniors invited
This is an all-day interactive tour of campus
Event occurs on select dates throughout the year
DecideLU
Ready to make your next LU decision? Start your journey or take your last steps toward becoming a Liberty student during this single-day event.
High school second-semester sophomores, juniors, seniors, and college transfer students invited
This is an all-day event with a variety of sessions and tours
Event occurs on select dates throughout the summer
College For A Weekend (CFAW)
Learn what it’s like to be a college student when you spend an entire weekend with us at Liberty University!
High school second-semester sophomores, juniors, seniors, and college transfer students invited
Activities are available for the whole family
You’ll enjoy three days exploring campus
Event occurs during two weekends in the fall and two in the spring
Our Visitors Center team is here to assist you with any questions you have about your upcoming visit. Let us know how we can help you!"
"https://www.liberty.edu/orderayearbook","Order your copy!
The Liberty University Selah Yearbook
Our staff’s primary goal is to serve as a record keeper for the university. We cover all the news that take place during the year from construction, events, student profiles, and current events. Not only do we feature the residential campus but we also include our online campus as well. Each portion is essential to the university so we do our best to showcase both.
So that more students can take advantage of the yearbook, we offer a print and online edition of each book. You can purchase the printed version or view the complimentary online version. Check out what you can expect to see in the printed edition below!
What’s included in the print version?
On-campus events
Student profiles
Liberty in the news
Construction updates
Student quotes
Team and club photos
Current graduates’ names (residential and online undergrad and post-undergrad)
And more!
What’s included in the online version?
All of the content found in the print version
The 2019-20 book is in production and will be completed late summer of 2020. Orders will be shipped out immediately following completion.
*Note that a portrait of each student is not featured in the yearbook. Due to the size of Liberty’s student body, we are not able to include the name/photo of each student."
"https://www.liberty.edu/libertychampionpracticum","Liberty Champion Newspaper Practicum
Build your portfolio with hands-on newspaper experience. The Liberty Champion gives you the opportunity to bring what you’ve learned in the classroom right into the newsroom.
Read the Liberty Champion
Enjoy interview opportunities with high-profile leaders. Learn how to meet real-story deadlines in news, sports, feature, and editorial writing. And gain the print and web writing skills you’ll need as a professional journalist.
Through your Liberty Champion practicum, you’ll be exposed to the entire production process in a news media setting, and get real experiences that translate into marketable skills.
The Liberty Champion
One of the largest weekly community papers in Central Virginia
Published 11 times each semester
Circulated through various community channels with 15,500 copies printed per issue
Updated weekly on the web at Liberty.edu/Champion."
"https://www.liberty.edu/news","Media Resources
Looking for media information?
Photographs
Videos
Quick Facts
News Tips
If you have news about Liberty you’d like to share, email
news@liberty.edu
Read the Liberty Champion
Read the latest issue of the student newspaper
https://www.liberty.edu/champion/"
"https://www.liberty.edu/the-light/","The Light is a Top 40 College Christian radio station. We play Christian Modern Rock, Hip Hop and R&B as well as other popular Christian songs. Students produce the majority of our broadcast day, aired from Liberty University. In addition to our regular music programming we also air specialty music shows, newscasts, sports and Liberty Campus Church Services."
"https://www.liberty.edu/request-information/?page_placement=global_header","What degree level would you like? * 
Undergraduate Graduate Doctorate 
Please select one of the above options 
Starting Term* Please select a term Desired Major* Please select a desired major 
Email Address* Please enter a valid email address 
Legal First Name* Please enter your first name 
Legal Last Name* Please enter your last name 
Full Address* 
Please enter address
Phone Number* Please enter valid phone number 
Parent/Guardian First Name 
Parent/Guardian Last Name 
Relationship to Student 
Parent/Guardian Email Address 
By submitting contact information through this form, I agree that Liberty University and its affiliates may call and/or text me about its offerings by any phone number I have provided and may provide in the future, including any wireless number, using automated technology. 
Message and data rates may apply. For additional information, text HELP to 49595 or 49596. You may opt-out at any time by sending STOP to 49595 or 49596. Visit for Terms & Conditions and Privacy Policy 
What degree level would you like? * 
Undergraduate Graduate Doctorate 
Please select one of the above options 
Desired Major* Please select a desired major 
Email Address* Please enter a valid email address 
Legal First Name* Please enter your first name 
Legal Last Name* Please enter your last name 
Full Address* 
Please enter address
Phone Number* Please enter valid phone number 
By submitting contact information through this form, I agree that Liberty University and its affiliates may call and/or text me about its offerings by any phone number I have provided and may provide in the future, including any wireless number, using automated technology. 
Message and data rates may apply. For additional information, text HELP to 49595 or 49596. You may opt-out at any time by sending STOP to 49595 or 49596. Visit for Terms & Conditions and Privacy Policy 
Grade Level(s) of Interest * 
Elementary School Middle School High School Dual Enrollment 
Please select a grade level
Email Address* Please enter a valid email address 
Legal First Name* Please enter your first name 
Legal Last Name* Please enter your last name 
Full Address* 
Please enter address
Phone Number* Please enter valid phone number 
Parent/Guardian First Name 
Parent/Guardian Last Name 
Relationship to Student 
Parent/Guardian Email Address 
By submitting my contact information through this form, I agree that Liberty University (including Liberty University Online Academy) and its affiliates may call and/or text me about its offerings and other business matters by any phone number I have provided and may provide in the future, including any wireless number, using automated technology. 
Message and data rates may apply. For additional information, text HELP to 49595 or 49596. You may opt-out at any time by sending STOP to 49595 or 49596. Visit for Terms & Conditions and Privacy Policy"
"https://www.liberty.edu/academiccalendar","Liberty Online
Residential"
